chronological_index,session_id,source_token_index,source_token,count,count_status,occupancy,distance_cm,group,nominal_interval_s,reference_bpm,reference_role
0,20260916T054244_118183_c80cd924,0,0,0,user_reported,0,,empty_complete,120.0,,occupancy_absence
1,20260916T054701_999498_a9836fd9,1,24,24,user_reported,1,30.0,30cm,120.0,12.0,occupied_rate
2,20260916T055024_826155_489fce0f,2,30,30,user_reported,1,30.0,30cm,120.0,15.0,occupied_rate
3,20260916T055235_581953_89412768,3,27,27,user_reported,1,30.0,30cm,120.0,13.5,occupied_rate
4,20260916T055449_958888_e2d24064,4,33,33,user_reported,1,60.0,60cm,120.0,16.5,occupied_rate
5,20260916T055706_096252_5f38716a,5,32,32,user_reported,1,60.0,60cm,120.0,16.0,occupied_rate
6,20260916T055913_253059_08098c26,6,37,37,user_reported,1,60.0,60cm,120.0,18.5,occupied_rate
7,20260916T060200_034260_9dd9fd80,7,36,36,user_reported,1,100.0,100cm,120.0,18.0,occupied_rate
8,20260916T060415_036934_0bd26482,8,30,30,user_reported,1,100.0,100cm,120.0,15.0,occupied_rate
9,20260916T060628_185239_4c4d38b6,9,33,33,user_reported,1,100.0,100cm,120.0,16.5,occupied_rate
10,20260916T060852_507440_8a5360c8,10,34,34,user_reported,1,200.0,200cm,120.0,17.0,occupied_rate
11,20260916T061107_886644_2352edd0,11,32,32,user_reported,1,200.0,200cm,120.0,16.0,occupied_rate
12,20260916T061327_440770_fcb222ce,12,34,34,user_reported,1,200.0,200cm,120.0,17.0,occupied_rate
13,20260916T061618_612294_53ead452,13,28,28,user_reported,1,300.0,300cm,120.0,14.0,occupied_rate
14,20260916T061836_038634_fdb6204f,14,30,30,user_reported,1,300.0,300cm,120.0,15.0,occupied_rate
15,20260916T062052_361925_cec1170d,15,33,33,user_reported,1,300.0,300cm,120.0,16.5,occupied_rate
16,20260916T062407_816705_017a033d,16,30,30,user_reported,1,500.0,500cm,120.0,15.0,occupied_rate
17,20260916T062632_711148_812d036c,17,28,28,user_reported,1,500.0,500cm,120.0,14.0,occupied_rate
18,20260916T062856_614494_168e3beb,18,23,23,user_reported,1,500.0,500cm,120.0,11.5,occupied_rate
19,20260916T063134_772384_aca6e871,,,,not_supplied,0,,empty_complete,120.0,,unavailable
20,20260916T063413_795063_e446ed62,,,,not_supplied,0,,empty_operator_interrupted,120.0,,unavailable
